merged_log_run_id=20260217_130429
[swarm_manager.log] 2026-02-17 13:04:29,845 - SwarmManager - INFO - Swarm monitoring started
[system_20260217_130429.log] 2026-02-17 13:04:29,846 - Main - INFO - Swarm created with 5 drones
[system_20260217_130429.log] 2026-02-17 13:04:29,847 - Main - INFO - Leader elected: Drone 1
[system_20260217_130429.log] 2026-02-17 13:04:29,847 - Main - INFO - Starting GUI...
[ml_system.log] 2026-02-17 13:04:51,452 - PhysicalMLTrainer_Drone1 - INFO - Physical ML model trained drone=1 samples=451 degree=2 alpha=0.0 val_mse=0.000000
[ml_system.log] 2026-02-17 13:04:51,555 - PhysicalMLTrainer_Drone3 - INFO - Physical ML model trained drone=3 samples=501 degree=2 alpha=0.0 val_mse=0.000000
[ml_system.log] 2026-02-17 13:04:51,658 - PhysicalMLTrainer_Drone5 - INFO - Physical ML model trained drone=5 samples=501 degree=2 alpha=0.0 val_mse=0.000000
[system_20260217_130429.log] 2026-02-17 13:04:51,452 - PhysicalMLTrainer_Drone1 - INFO - Physical ML model trained drone=1 samples=451 degree=2 alpha=0.0 val_mse=0.000000
[system_20260217_130429.log] 2026-02-17 13:04:51,555 - PhysicalMLTrainer_Drone2 - INFO - Physical ML model trained drone=2 samples=501 degree=2 alpha=0.0 val_mse=0.000000
[system_20260217_130429.log] 2026-02-17 13:04:51,555 - PhysicalMLTrainer_Drone3 - INFO - Physical ML model trained drone=3 samples=501 degree=2 alpha=0.0 val_mse=0.000000
[system_20260217_130429.log] 2026-02-17 13:04:51,658 - PhysicalMLTrainer_Drone4 - INFO - Physical ML model trained drone=4 samples=501 degree=2 alpha=0.0 val_mse=0.000000
[system_20260217_130429.log] 2026-02-17 13:04:51,658 - PhysicalMLTrainer_Drone5 - INFO - Physical ML model trained drone=5 samples=501 degree=2 alpha=0.0 val_mse=0.000000
[system_20260217_130429.log] 2026-02-17 13:05:01,581 - Drone_1 - INFO - Drone 1: Armed
[system_20260217_130429.log] 2026-02-17 13:05:01,583 - Drone_2 - INFO - Drone 2: Armed
[system_20260217_130429.log] 2026-02-17 13:05:01,584 - Drone_3 - INFO - Drone 3: Armed
[system_20260217_130429.log] 2026-02-17 13:05:01,586 - Drone_4 - INFO - Drone 4: Armed
[system_20260217_130429.log] 2026-02-17 13:05:01,588 - Drone_5 - INFO - Drone 5: Armed
[swarm_manager.log] 2026-02-17 13:05:02,564 - SwarmManager - INFO - Leader-follow enabled=False
[swarm_manager.log] 2026-02-17 13:05:02,568 - SwarmManager - INFO - Leader command received: TAKEOFF by drone=1
[system_20260217_130429.log] 2026-02-17 13:05:02,569 - Drone_1 - INFO - Drone 1: Taking off
[system_20260217_130429.log] 2026-02-17 13:05:02,570 - DroneStateManager - INFO - Drone 1 state transition IDLE -> TAKEOFF
[system_20260217_130429.log] 2026-02-17 13:05:02,573 - Drone_2 - INFO - Drone 2: Taking off
[system_20260217_130429.log] 2026-02-17 13:05:02,574 - DroneStateManager - INFO - Drone 2 state transition IDLE -> TAKEOFF
[system_20260217_130429.log] 2026-02-17 13:05:02,577 - Drone_3 - INFO - Drone 3: Taking off
[system_20260217_130429.log] 2026-02-17 13:05:02,578 - DroneStateManager - INFO - Drone 3 state transition IDLE -> TAKEOFF
[system_20260217_130429.log] 2026-02-17 13:05:02,582 - Drone_4 - INFO - Drone 4: Taking off
[system_20260217_130429.log] 2026-02-17 13:05:02,583 - DroneStateManager - INFO - Drone 4 state transition IDLE -> TAKEOFF
[system_20260217_130429.log] 2026-02-17 13:05:02,586 - Drone_5 - INFO - Drone 5: Taking off
[system_20260217_130429.log] 2026-02-17 13:05:02,587 - DroneStateManager - INFO - Drone 5 state transition IDLE -> TAKEOFF
