merged_log_run_id=20260217_081912
[swarm_manager.log] 2026-02-17 08:19:12,826 - SwarmManager - INFO - Swarm monitoring started
[system_20260217_081912.log] 2026-02-17 08:19:12,827 - Main - INFO - Swarm created with 5 drones
[system_20260217_081912.log] 2026-02-17 08:19:12,827 - Main - INFO - Leader elected: Drone 1
[system_20260217_081912.log] 2026-02-17 08:19:12,827 - Main - INFO - Starting GUI...
[swarm_manager.log] 2026-02-17 08:19:21,104 - SwarmManager - INFO - Drone 6 added to swarm
[swarm_manager.log] 2026-02-17 08:19:21,671 - SwarmManager - INFO - Drone 7 added to swarm
[ml_system.log] 2026-02-17 08:19:21,092 - MLDecisionSupport_Drone6 - INFO - ML Decision Support initialized
[ml_system.log] 2026-02-17 08:19:21,101 - PhysicalMLTrainer_Drone6 - INFO - Physical ML model trained drone=6 samples=300 degree=2 alpha=0.1 val_mse=0.000128
[ml_system.log] 2026-02-17 08:19:21,108 - PhysicalMLTrainer_Drone6 - INFO - Physical ML model trained drone=6 samples=301 degree=2 alpha=0.1 val_mse=0.000128
[ml_system.log] 2026-02-17 08:19:21,660 - MLDecisionSupport_Drone7 - INFO - ML Decision Support initialized
[ml_system.log] 2026-02-17 08:19:21,668 - PhysicalMLTrainer_Drone7 - INFO - Physical ML model trained drone=7 samples=300 degree=2 alpha=0.1 val_mse=0.000128
[ml_system.log] 2026-02-17 08:19:21,673 - PhysicalMLTrainer_Drone7 - INFO - Physical ML model trained drone=7 samples=301 degree=2 alpha=0.1 val_mse=0.000128
[system_20260217_081912.log] 2026-02-17 08:19:21,092 - MLDecisionSupport_Drone6 - INFO - ML Decision Support initialized
[system_20260217_081912.log] 2026-02-17 08:19:21,101 - PhysicalMLTrainer_Drone6 - INFO - Physical ML model trained drone=6 samples=300 degree=2 alpha=0.1 val_mse=0.000128
[system_20260217_081912.log] 2026-02-17 08:19:21,102 - Drone_6 - INFO - Drone 6: bootstrap personal trainer loaded 300 rows from datasets/personal_training.csv
[system_20260217_081912.log] 2026-02-17 08:19:21,102 - Drone_6 - INFO - Drone 6: Personal ML system initialized
[system_20260217_081912.log] 2026-02-17 08:19:21,102 - Drone_6 - INFO - Drone 6 initialized at {'x': 187.57370642231035, 'y': 945.0042063196079, 'z': 0}
[system_20260217_081912.log] 2026-02-17 08:19:21,104 - Drone_6 - INFO - Drone 6 started
[system_20260217_081912.log] 2026-02-17 08:19:21,108 - PhysicalMLTrainer_Drone6 - INFO - Physical ML model trained drone=6 samples=301 degree=2 alpha=0.1 val_mse=0.000128
[system_20260217_081912.log] 2026-02-17 08:19:21,660 - MLDecisionSupport_Drone7 - INFO - ML Decision Support initialized
[system_20260217_081912.log] 2026-02-17 08:19:21,668 - PhysicalMLTrainer_Drone7 - INFO - Physical ML model trained drone=7 samples=300 degree=2 alpha=0.1 val_mse=0.000128
[system_20260217_081912.log] 2026-02-17 08:19:21,669 - Drone_7 - INFO - Drone 7: bootstrap personal trainer loaded 300 rows from datasets/personal_training.csv
[system_20260217_081912.log] 2026-02-17 08:19:21,669 - Drone_7 - INFO - Drone 7: Personal ML system initialized
[system_20260217_081912.log] 2026-02-17 08:19:21,669 - Drone_7 - INFO - Drone 7 initialized at {'x': 1684.7970074187433, 'y': -1264.787252166184, 'z': 0}
[system_20260217_081912.log] 2026-02-17 08:19:21,670 - Drone_7 - INFO - Drone 7 started
[system_20260217_081912.log] 2026-02-17 08:19:21,673 - PhysicalMLTrainer_Drone7 - INFO - Physical ML model trained drone=7 samples=301 degree=2 alpha=0.1 val_mse=0.000128
[ml_system.log] 2026-02-17 08:19:33,016 - PhysicalMLTrainer_Drone1 - INFO - Physical ML model trained drone=1 samples=451 degree=2 alpha=0.0 val_mse=0.000000
[ml_system.log] 2026-02-17 08:19:33,018 - PhysicalMLTrainer_Drone5 - INFO - Physical ML model trained drone=5 samples=501 degree=2 alpha=0.0 val_mse=0.000000
