merged_log_run_id=20260217_082339
[system_20260217_082339.log] 2026-02-17 08:24:00,819 - DroneStateManager - INFO - Drone 5 state transition WAITING_FOR_COMMAND -> MOVING_TO_TARGET
[ml_system.log] 2026-02-17 08:24:20,074 - PhysicalMLTrainer_Drone1 - INFO - Physical ML model trained drone=1 samples=651 degree=2 alpha=0.0 val_mse=0.000667
[ml_system.log] 2026-02-17 08:24:20,074 - PhysicalMLTrainer_Drone4 - INFO - Physical ML model trained drone=4 samples=701 degree=2 alpha=0.0 val_mse=0.000650
[ml_system.log] 2026-02-17 08:24:20,135 - PhysicalMLTrainer_Drone3 - INFO - Physical ML model trained drone=3 samples=701 degree=2 alpha=0.0 val_mse=0.000491
[ml_system.log] 2026-02-17 08:24:20,137 - PhysicalMLTrainer_Drone2 - INFO - Physical ML model trained drone=2 samples=701 degree=2 alpha=0.0 val_mse=0.001244
[ml_system.log] 2026-02-17 08:24:20,137 - PhysicalMLTrainer_Drone5 - INFO - Physical ML model trained drone=5 samples=701 degree=2 alpha=0.0 val_mse=0.000718
[system_20260217_082339.log] 2026-02-17 08:24:20,074 - PhysicalMLTrainer_Drone1 - INFO - Physical ML model trained drone=1 samples=651 degree=2 alpha=0.0 val_mse=0.000667
[system_20260217_082339.log] 2026-02-17 08:24:20,074 - PhysicalMLTrainer_Drone4 - INFO - Physical ML model trained drone=4 samples=701 degree=2 alpha=0.0 val_mse=0.000650
[system_20260217_082339.log] 2026-02-17 08:24:20,135 - PhysicalMLTrainer_Drone3 - INFO - Physical ML model trained drone=3 samples=701 degree=2 alpha=0.0 val_mse=0.000491
[system_20260217_082339.log] 2026-02-17 08:24:20,137 - PhysicalMLTrainer_Drone2 - INFO - Physical ML model trained drone=2 samples=701 degree=2 alpha=0.0 val_mse=0.001244
[system_20260217_082339.log] 2026-02-17 08:24:20,137 - PhysicalMLTrainer_Drone5 - INFO - Physical ML model trained drone=5 samples=701 degree=2 alpha=0.0 val_mse=0.000718
[ml_system.log] 2026-02-17 08:24:40,245 - PhysicalMLTrainer_Drone1 - INFO - Physical ML model trained drone=1 samples=851 degree=2 alpha=0.0 val_mse=0.001590
