merged_log_run_id=20260217_180837
[swarm_manager.log] 2026-02-17 18:08:37,174 - SwarmManager - INFO - Swarm monitoring started
[system_20260217_180837.log] 2026-02-17 18:08:37,174 - Main - INFO - Swarm created with 5 drones
[system_20260217_180837.log] 2026-02-17 18:08:37,175 - Main - INFO - Leader elected: Drone 1
[system_20260217_180837.log] 2026-02-17 18:08:37,175 - Main - INFO - Starting GUI...
[ml_system.log] 2026-02-17 18:08:58,309 - PhysicalMLTrainer_Drone1 - INFO - Physical ML model trained drone=1 samples=451 degree=2 alpha=0.0 val_mse=0.000000
[ml_system.log] 2026-02-17 18:08:58,310 - PhysicalMLTrainer_Drone4 - INFO - Physical ML model trained drone=4 samples=501 degree=2 alpha=0.0 val_mse=0.000000
[ml_system.log] 2026-02-17 18:08:58,313 - PhysicalMLTrainer_Drone3 - INFO - Physical ML model trained drone=3 samples=501 degree=2 alpha=0.0 val_mse=0.000000
[ml_system.log] 2026-02-17 18:08:58,324 - PhysicalMLTrainer_Drone2 - INFO - Physical ML model trained drone=2 samples=501 degree=2 alpha=0.0 val_mse=0.000000
[ml_system.log] 2026-02-17 18:08:58,347 - PhysicalMLTrainer_Drone5 - INFO - Physical ML model trained drone=5 samples=501 degree=2 alpha=0.0 val_mse=0.000000
[system_20260217_180837.log] 2026-02-17 18:08:58,309 - PhysicalMLTrainer_Drone1 - INFO - Physical ML model trained drone=1 samples=451 degree=2 alpha=0.0 val_mse=0.000000
[system_20260217_180837.log] 2026-02-17 18:08:58,310 - PhysicalMLTrainer_Drone4 - INFO - Physical ML model trained drone=4 samples=501 degree=2 alpha=0.0 val_mse=0.000000
[system_20260217_180837.log] 2026-02-17 18:08:58,313 - PhysicalMLTrainer_Drone3 - INFO - Physical ML model trained drone=3 samples=501 degree=2 alpha=0.0 val_mse=0.000000
[system_20260217_180837.log] 2026-02-17 18:08:58,324 - PhysicalMLTrainer_Drone2 - INFO - Physical ML model trained drone=2 samples=501 degree=2 alpha=0.0 val_mse=0.000000
[system_20260217_180837.log] 2026-02-17 18:08:58,347 - PhysicalMLTrainer_Drone5 - INFO - Physical ML model trained drone=5 samples=501 degree=2 alpha=0.0 val_mse=0.000000
[ml_system.log] 2026-02-17 18:09:18,707 - PhysicalMLTrainer_Drone1 - INFO - Physical ML model trained drone=1 samples=651 degree=2 alpha=0.0 val_mse=0.000000
[ml_system.log] 2026-02-17 18:09:18,728 - PhysicalMLTrainer_Drone3 - INFO - Physical ML model trained drone=3 samples=701 degree=2 alpha=0.0 val_mse=0.000000
[ml_system.log] 2026-02-17 18:09:18,728 - PhysicalMLTrainer_Drone2 - INFO - Physical ML model trained drone=2 samples=701 degree=2 alpha=0.0 val_mse=0.000000
[ml_system.log] 2026-02-17 18:09:18,779 - PhysicalMLTrainer_Drone4 - INFO - Physical ML model trained drone=4 samples=701 degree=2 alpha=0.0 val_mse=0.000000
