merged_log_run_id=20260217_212006
[swarm_manager.log] 2026-02-17 21:20:06,988 - SwarmManager - INFO - Swarm monitoring started
[system_20260217_212006.log] 2026-02-17 21:20:06,989 - Main - INFO - Swarm created with 5 drones
[system_20260217_212006.log] 2026-02-17 21:20:06,989 - Main - INFO - Leader elected: Drone 1
[system_20260217_212006.log] 2026-02-17 21:20:06,989 - Main - INFO - Starting GUI...
[system_20260217_212006.log] 2026-02-17 21:20:20,961 - Drone_1 - INFO - Drone 1: Armed
[system_20260217_212006.log] 2026-02-17 21:20:20,962 - Drone_2 - INFO - Drone 2: Armed
[system_20260217_212006.log] 2026-02-17 21:20:20,963 - Drone_3 - INFO - Drone 3: Armed
[system_20260217_212006.log] 2026-02-17 21:20:20,964 - Drone_4 - INFO - Drone 4: Armed
[system_20260217_212006.log] 2026-02-17 21:20:20,964 - Drone_5 - INFO - Drone 5: Armed
[swarm_manager.log] 2026-02-17 21:20:22,482 - SwarmManager - INFO - Leader-follow enabled=False
[swarm_manager.log] 2026-02-17 21:20:22,484 - SwarmManager - INFO - Leader command received: TAKEOFF by drone=1
[system_20260217_212006.log] 2026-02-17 21:20:22,484 - Drone_1 - INFO - Drone 1: Taking off
[system_20260217_212006.log] 2026-02-17 21:20:22,484 - DroneStateManager - INFO - Drone 1 state transition IDLE -> TAKEOFF
[system_20260217_212006.log] 2026-02-17 21:20:22,485 - Drone_2 - INFO - Drone 2: Taking off
[system_20260217_212006.log] 2026-02-17 21:20:22,486 - DroneStateManager - INFO - Drone 2 state transition IDLE -> TAKEOFF
[system_20260217_212006.log] 2026-02-17 21:20:22,486 - Drone_3 - INFO - Drone 3: Taking off
[system_20260217_212006.log] 2026-02-17 21:20:22,486 - DroneStateManager - INFO - Drone 3 state transition IDLE -> TAKEOFF
[system_20260217_212006.log] 2026-02-17 21:20:22,487 - Drone_4 - INFO - Drone 4: Taking off
[system_20260217_212006.log] 2026-02-17 21:20:22,487 - DroneStateManager - INFO - Drone 4 state transition IDLE -> TAKEOFF
[system_20260217_212006.log] 2026-02-17 21:20:22,487 - Drone_5 - INFO - Drone 5: Taking off
[system_20260217_212006.log] 2026-02-17 21:20:22,487 - DroneStateManager - INFO - Drone 5 state transition IDLE -> TAKEOFF
[system_20260217_212006.log] 2026-02-17 21:20:24,054 - DroneStateManager - INFO - Drone 2 state transition TAKEOFF -> WAITING_FOR_COMMAND
[system_20260217_212006.log] 2026-02-17 21:20:24,057 - DroneStateManager - INFO - Drone 3 state transition TAKEOFF -> WAITING_FOR_COMMAND
[system_20260217_212006.log] 2026-02-17 21:20:24,058 - DroneStateManager - INFO - Drone 4 state transition TAKEOFF -> WAITING_FOR_COMMAND
[system_20260217_212006.log] 2026-02-17 21:20:24,060 - DroneStateManager - INFO - Drone 5 state transition TAKEOFF -> WAITING_FOR_COMMAND
[swarm_manager.log] 2026-02-17 21:20:25,093 - SwarmManager - INFO - Leader command received: MOVE_TO_TARGET by drone=1
[system_20260217_212006.log] 2026-02-17 21:20:25,094 - Drone_1 - INFO - Drone 1: Flying to {'x': 2585.0, 'y': 2580.0, 'z': 60.0}
[system_20260217_212006.log] 2026-02-17 21:20:25,094 - DroneStateManager - INFO - Drone 1 state transition TAKEOFF -> MOVING_TO_TARGET
[system_20260217_212006.log] 2026-02-17 21:20:25,095 - Drone_2 - INFO - Drone 2: Flying to {'x': 2553.9057647468726, 'y': 2622.797543233282, 'z': 60.0}
[system_20260217_212006.log] 2026-02-17 21:20:25,096 - DroneStateManager - INFO - Drone 2 state transition WAITING_FOR_COMMAND -> MOVING_TO_TARGET
[system_20260217_212006.log] 2026-02-17 21:20:25,096 - Drone_3 - INFO - Drone 3: Flying to {'x': 2503.5942352531274, 'y': 2606.450336353161, 'z': 60.0}
