merged_log_run_id=20260217_113117
[swarm_manager.log] 2026-02-17 11:31:17,197 - SwarmManager - INFO - Swarm monitoring started
[system_20260217_113117.log] 2026-02-17 11:31:17,197 - Main - INFO - Swarm created with 5 drones
[system_20260217_113117.log] 2026-02-17 11:31:17,198 - Main - INFO - Leader elected: Drone 1
[system_20260217_113117.log] 2026-02-17 11:31:17,198 - Main - INFO - Starting GUI...
[system_20260217_113117.log] 2026-02-17 11:31:25,943 - Drone_1 - INFO - Drone 1: Armed
[system_20260217_113117.log] 2026-02-17 11:31:25,944 - Drone_2 - INFO - Drone 2: Armed
[system_20260217_113117.log] 2026-02-17 11:31:25,945 - Drone_3 - INFO - Drone 3: Armed
[system_20260217_113117.log] 2026-02-17 11:31:25,946 - Drone_4 - INFO - Drone 4: Armed
[system_20260217_113117.log] 2026-02-17 11:31:25,947 - Drone_5 - INFO - Drone 5: Armed
[swarm_manager.log] 2026-02-17 11:31:27,864 - SwarmManager - INFO - Leader-follow enabled=False
[swarm_manager.log] 2026-02-17 11:31:27,866 - SwarmManager - INFO - Leader command received: TAKEOFF by drone=1
[system_20260217_113117.log] 2026-02-17 11:31:27,867 - Drone_1 - INFO - Drone 1: Taking off
[system_20260217_113117.log] 2026-02-17 11:31:27,867 - DroneStateManager - INFO - Drone 1 state transition IDLE -> TAKEOFF
[system_20260217_113117.log] 2026-02-17 11:31:27,869 - Drone_2 - INFO - Drone 2: Taking off
[system_20260217_113117.log] 2026-02-17 11:31:27,869 - DroneStateManager - INFO - Drone 2 state transition IDLE -> TAKEOFF
[system_20260217_113117.log] 2026-02-17 11:31:27,870 - Drone_3 - INFO - Drone 3: Taking off
[system_20260217_113117.log] 2026-02-17 11:31:27,870 - DroneStateManager - INFO - Drone 3 state transition IDLE -> TAKEOFF
[system_20260217_113117.log] 2026-02-17 11:31:27,871 - Drone_4 - INFO - Drone 4: Taking off
[system_20260217_113117.log] 2026-02-17 11:31:27,871 - DroneStateManager - INFO - Drone 4 state transition IDLE -> TAKEOFF
[system_20260217_113117.log] 2026-02-17 11:31:27,872 - Drone_5 - INFO - Drone 5: Taking off
[system_20260217_113117.log] 2026-02-17 11:31:27,872 - DroneStateManager - INFO - Drone 5 state transition IDLE -> TAKEOFF
[swarm_manager.log] 2026-02-17 11:31:29,654 - SwarmManager - INFO - Leader command received: MOVE_TO_TARGET by drone=1
[system_20260217_113117.log] 2026-02-17 11:31:29,248 - DroneStateManager - INFO - Drone 2 state transition TAKEOFF -> WAITING_FOR_COMMAND
[system_20260217_113117.log] 2026-02-17 11:31:29,249 - DroneStateManager - INFO - Drone 3 state transition TAKEOFF -> WAITING_FOR_COMMAND
[system_20260217_113117.log] 2026-02-17 11:31:29,250 - DroneStateManager - INFO - Drone 4 state transition TAKEOFF -> WAITING_FOR_COMMAND
[system_20260217_113117.log] 2026-02-17 11:31:29,252 - DroneStateManager - INFO - Drone 5 state transition TAKEOFF -> WAITING_FOR_COMMAND
[system_20260217_113117.log] 2026-02-17 11:31:29,654 - Drone_1 - INFO - Drone 1: Flying to {'x': 2585.0, 'y': 2580.0, 'z': 60.0}
[system_20260217_113117.log] 2026-02-17 11:31:29,655 - DroneStateManager - INFO - Drone 1 state transition TAKEOFF -> MOVING_TO_TARGET
[system_20260217_113117.log] 2026-02-17 11:31:29,655 - Drone_2 - INFO - Drone 2: Flying to {'x': 2553.9057647468726, 'y': 2622.797543233282, 'z': 60.0}
[system_20260217_113117.log] 2026-02-17 11:31:29,655 - DroneStateManager - INFO - Drone 2 state transition WAITING_FOR_COMMAND -> MOVING_TO_TARGET
[system_20260217_113117.log] 2026-02-17 11:31:29,656 - Drone_3 - INFO - Drone 3: Flying to {'x': 2503.5942352531274, 'y': 2606.450336353161, 'z': 60.0}
[system_20260217_113117.log] 2026-02-17 11:31:29,656 - DroneStateManager - INFO - Drone 3 state transition WAITING_FOR_COMMAND -> MOVING_TO_TARGET
[system_20260217_113117.log] 2026-02-17 11:31:29,657 - Drone_4 - INFO - Drone 4: Flying to {'x': 2503.5942352531274, 'y': 2553.549663646839, 'z': 60.0}
