merged_log_run_id=20260215_120956
[swarm_manager.log] 2026-02-15 12:09:56,342 - SwarmManager - INFO - Swarm monitoring started
[system_20260215_120956.log] 2026-02-15 12:09:56,342 - Main - INFO - Swarm created with 5 drones
[system_20260215_120956.log] 2026-02-15 12:09:56,342 - Main - INFO - Leader elected: Drone 1
[system_20260215_120956.log] 2026-02-15 12:09:56,342 - Main - INFO - Starting GUI...
[swarm_manager.log] 2026-02-15 12:10:14,382 - SwarmManager - WARNING - Failed to append runtime CSV: [Errno 13] Permission denied: 'performance_graphs\\runtime_latency_vs_drones_20260215_120956.csv'
[ml_system.log] 2026-02-15 12:10:16,550 - PhysicalMLTrainer_Drone4 - INFO - Physical ML model trained drone=4 samples=501 degree=2 alpha=0.0 val_mse=0.000000
[ml_system.log] 2026-02-15 12:10:16,550 - PhysicalMLTrainer_Drone2 - INFO - Physical ML model trained drone=2 samples=501 degree=2 alpha=0.0 val_mse=0.000000
[ml_system.log] 2026-02-15 12:10:16,552 - PhysicalMLTrainer_Drone1 - INFO - Physical ML model trained drone=1 samples=451 degree=2 alpha=0.0 val_mse=0.000000
[ml_system.log] 2026-02-15 12:10:16,553 - PhysicalMLTrainer_Drone3 - INFO - Physical ML model trained drone=3 samples=501 degree=2 alpha=0.0 val_mse=0.000000
[ml_system.log] 2026-02-15 12:10:16,553 - PhysicalMLTrainer_Drone5 - INFO - Physical ML model trained drone=5 samples=501 degree=2 alpha=0.0 val_mse=0.000000
[system_20260215_120956.log] 2026-02-15 12:10:16,550 - PhysicalMLTrainer_Drone2 - INFO - Physical ML model trained drone=2 samples=501 degree=2 alpha=0.0 val_mse=0.000000
[system_20260215_120956.log] 2026-02-15 12:10:16,550 - PhysicalMLTrainer_Drone4 - INFO - Physical ML model trained drone=4 samples=501 degree=2 alpha=0.0 val_mse=0.000000
[system_20260215_120956.log] 2026-02-15 12:10:16,552 - PhysicalMLTrainer_Drone1 - INFO - Physical ML model trained drone=1 samples=451 degree=2 alpha=0.0 val_mse=0.000000
[system_20260215_120956.log] 2026-02-15 12:10:16,553 - PhysicalMLTrainer_Drone3 - INFO - Physical ML model trained drone=3 samples=501 degree=2 alpha=0.0 val_mse=0.000000
[system_20260215_120956.log] 2026-02-15 12:10:16,553 - PhysicalMLTrainer_Drone5 - INFO - Physical ML model trained drone=5 samples=501 degree=2 alpha=0.0 val_mse=0.000000
[swarm_manager.log] 2026-02-15 12:10:24,123 - SwarmManager - INFO - Leader-follow enabled=False
[swarm_manager.log] 2026-02-15 12:10:24,125 - SwarmManager - INFO - Leader command received: TAKEOFF by drone=1
[system_20260215_120956.log] 2026-02-15 12:10:23,374 - Drone_1 - INFO - Drone 1: Armed
[system_20260215_120956.log] 2026-02-15 12:10:23,376 - Drone_2 - INFO - Drone 2: Armed
[system_20260215_120956.log] 2026-02-15 12:10:23,377 - Drone_3 - INFO - Drone 3: Armed
[system_20260215_120956.log] 2026-02-15 12:10:23,378 - Drone_4 - INFO - Drone 4: Armed
[system_20260215_120956.log] 2026-02-15 12:10:23,379 - Drone_5 - INFO - Drone 5: Armed
[system_20260215_120956.log] 2026-02-15 12:10:24,125 - Drone_1 - INFO - Drone 1: Taking off
[system_20260215_120956.log] 2026-02-15 12:10:24,126 - DroneStateManager - INFO - Drone 1 state transition IDLE -> TAKEOFF
[system_20260215_120956.log] 2026-02-15 12:10:24,126 - Drone_2 - INFO - Drone 2: Taking off
[system_20260215_120956.log] 2026-02-15 12:10:24,126 - DroneStateManager - INFO - Drone 2 state transition IDLE -> TAKEOFF
[system_20260215_120956.log] 2026-02-15 12:10:24,127 - Drone_3 - INFO - Drone 3: Taking off
[system_20260215_120956.log] 2026-02-15 12:10:24,127 - DroneStateManager - INFO - Drone 3 state transition IDLE -> TAKEOFF
[system_20260215_120956.log] 2026-02-15 12:10:24,127 - Drone_4 - INFO - Drone 4: Taking off
[system_20260215_120956.log] 2026-02-15 12:10:24,128 - DroneStateManager - INFO - Drone 4 state transition IDLE -> TAKEOFF
[system_20260215_120956.log] 2026-02-15 12:10:24,128 - Drone_5 - INFO - Drone 5: Taking off
[system_20260215_120956.log] 2026-02-15 12:10:24,128 - DroneStateManager - INFO - Drone 5 state transition IDLE -> TAKEOFF
[swarm_manager.log] 2026-02-15 12:10:24,961 - SwarmManager - INFO - Leader command received: MOVE_TO_TARGET by drone=1
[system_20260215_120956.log] 2026-02-15 12:10:25,408 - DroneStateManager - INFO - Drone 2 state transition TAKEOFF -> WAITING_FOR_COMMAND
[system_20260215_120956.log] 2026-02-15 12:10:25,408 - DroneStateManager - INFO - Drone 3 state transition TAKEOFF -> WAITING_FOR_COMMAND
[system_20260215_120956.log] 2026-02-15 12:10:25,408 - DroneStateManager - INFO - Drone 4 state transition TAKEOFF -> WAITING_FOR_COMMAND
[system_20260215_120956.log] 2026-02-15 12:10:25,409 - DroneStateManager - INFO - Drone 5 state transition TAKEOFF -> WAITING_FOR_COMMAND
[swarm_manager.log] 2026-02-15 12:10:27,210 - SwarmManager - INFO - Leader command received: MOVE_TO_TARGET by drone=1
[system_20260215_120956.log] 2026-02-15 12:10:27,211 - Drone_1 - INFO - Drone 1: Flying to {'x': 2585.0, 'y': 2580.0, 'z': 60.0}
[system_20260215_120956.log] 2026-02-15 12:10:27,211 - DroneStateManager - INFO - Drone 1 state transition TAKEOFF -> MOVING_TO_TARGET
[system_20260215_120956.log] 2026-02-15 12:10:27,212 - Drone_2 - INFO - Drone 2: Flying to {'x': 2553.9057647468726, 'y': 2622.797543233282, 'z': 60.0}
[system_20260215_120956.log] 2026-02-15 12:10:27,212 - DroneStateManager - INFO - Drone 2 state transition WAITING_FOR_COMMAND -> MOVING_TO_TARGET
[system_20260215_120956.log] 2026-02-15 12:10:27,212 - Drone_3 - INFO - Drone 3: Flying to {'x': 2503.5942352531274, 'y': 2606.450336353161, 'z': 60.0}
[system_20260215_120956.log] 2026-02-15 12:10:27,213 - DroneStateManager - INFO - Drone 3 state transition WAITING_FOR_COMMAND -> MOVING_TO_TARGET
[system_20260215_120956.log] 2026-02-15 12:10:27,213 - Drone_4 - INFO - Drone 4: Flying to {'x': 2503.5942352531274, 'y': 2553.549663646839, 'z': 60.0}
[system_20260215_120956.log] 2026-02-15 12:10:27,213 - DroneStateManager - INFO - Drone 4 state transition WAITING_FOR_COMMAND -> MOVING_TO_TARGET
[system_20260215_120956.log] 2026-02-15 12:10:27,213 - Drone_5 - INFO - Drone 5: Flying to {'x': 2553.9057647468726, 'y': 2537.202456766718, 'z': 60.0}
[system_20260215_120956.log] 2026-02-15 12:10:27,213 - DroneStateManager - INFO - Drone 5 state transition WAITING_FOR_COMMAND -> MOVING_TO_TARGET
[ml_system.log] 2026-02-15 12:10:36,692 - PhysicalMLTrainer_Drone5 - INFO - Physical ML model trained drone=5 samples=701 degree=2 alpha=0.0 val_mse=0.207966
[ml_system.log] 2026-02-15 12:10:36,693 - PhysicalMLTrainer_Drone3 - INFO - Physical ML model trained drone=3 samples=701 degree=2 alpha=0.0 val_mse=0.222531
[ml_system.log] 2026-02-15 12:10:36,693 - PhysicalMLTrainer_Drone2 - INFO - Physical ML model trained drone=2 samples=701 degree=2 alpha=0.0 val_mse=0.234729
[ml_system.log] 2026-02-15 12:10:36,694 - PhysicalMLTrainer_Drone4 - INFO - Physical ML model trained drone=4 samples=701 degree=2 alpha=0.0 val_mse=0.231734
[ml_system.log] 2026-02-15 12:10:36,694 - PhysicalMLTrainer_Drone1 - INFO - Physical ML model trained drone=1 samples=651 degree=2 alpha=0.0 val_mse=0.243069
[system_20260215_120956.log] 2026-02-15 12:10:36,692 - PhysicalMLTrainer_Drone5 - INFO - Physical ML model trained drone=5 samples=701 degree=2 alpha=0.0 val_mse=0.207966
[system_20260215_120956.log] 2026-02-15 12:10:36,693 - PhysicalMLTrainer_Drone3 - INFO - Physical ML model trained drone=3 samples=701 degree=2 alpha=0.0 val_mse=0.222531
[system_20260215_120956.log] 2026-02-15 12:10:36,693 - PhysicalMLTrainer_Drone2 - INFO - Physical ML model trained drone=2 samples=701 degree=2 alpha=0.0 val_mse=0.234729
[system_20260215_120956.log] 2026-02-15 12:10:36,694 - PhysicalMLTrainer_Drone4 - INFO - Physical ML model trained drone=4 samples=701 degree=2 alpha=0.0 val_mse=0.231734
[system_20260215_120956.log] 2026-02-15 12:10:36,694 - PhysicalMLTrainer_Drone1 - INFO - Physical ML model trained drone=1 samples=651 degree=2 alpha=0.0 val_mse=0.243069
[system_20260215_120956.log] 2026-02-15 12:10:40,825 - ObstacleManager - INFO - Dynamic obstacle added id=29 type=linear start=(250.0, 250.0) vel=(0.0, 0.0)
[swarm_manager.log] 2026-02-15 12:10:49,523 - SwarmManager - INFO - Dynamic obstacle avoidance drone=1 prob=0.55 cone=0.00 conf=0.58 target=(320.9, 280.7, 8.4)
[swarm_manager.log] 2026-02-15 12:10:50,528 - SwarmManager - INFO - Dynamic obstacle avoidance drone=1 prob=0.48 cone=0.00 conf=0.58 target=(334.2, 287.9, 8.2)
[system_20260215_120956.log] 2026-02-15 12:10:49,521 - Drone_1 - INFO - Drone 1: Flying to {'x': 320.91602106574976, 'y': 280.7355913880881, 'z': 8.405691195983783}
[system_20260215_120956.log] 2026-02-15 12:10:49,526 - DroneStateManager - INFO - Drone 1 state transition MOVING_TO_TARGET -> AVOIDING_DYNAMIC_OBSTACLE
[system_20260215_120956.log] 2026-02-15 12:10:50,527 - Drone_1 - INFO - Drone 1: Flying to {'x': 334.2353676935015, 'y': 287.862054626009, 'z': 8.191222021412393}
[system_20260215_120956.log] 2026-02-15 12:10:51,537 - DroneStateManager - INFO - Drone 1 state transition AVOIDING_DYNAMIC_OBSTACLE -> MOVING_TO_TARGET
[ml_system.log] 2026-02-15 12:10:56,848 - PhysicalMLTrainer_Drone1 - INFO - Physical ML model trained drone=1 samples=851 degree=2 alpha=0.0 val_mse=0.012936
[ml_system.log] 2026-02-15 12:10:56,849 - PhysicalMLTrainer_Drone2 - INFO - Physical ML model trained drone=2 samples=901 degree=2 alpha=0.0 val_mse=0.002023
[ml_system.log] 2026-02-15 12:10:56,849 - PhysicalMLTrainer_Drone5 - INFO - Physical ML model trained drone=5 samples=901 degree=2 alpha=0.0 val_mse=0.001179
[ml_system.log] 2026-02-15 12:10:56,849 - PhysicalMLTrainer_Drone3 - INFO - Physical ML model trained drone=3 samples=901 degree=2 alpha=0.0 val_mse=0.000704
[ml_system.log] 2026-02-15 12:10:56,850 - PhysicalMLTrainer_Drone4 - INFO - Physical ML model trained drone=4 samples=901 degree=2 alpha=0.0 val_mse=0.000925
[system_20260215_120956.log] 2026-02-15 12:10:56,823 - Drone_1 - INFO - Drone 1: Reached target position
[system_20260215_120956.log] 2026-02-15 12:10:56,848 - PhysicalMLTrainer_Drone1 - INFO - Physical ML model trained drone=1 samples=851 degree=2 alpha=0.0 val_mse=0.012936
[system_20260215_120956.log] 2026-02-15 12:10:56,849 - PhysicalMLTrainer_Drone2 - INFO - Physical ML model trained drone=2 samples=901 degree=2 alpha=0.0 val_mse=0.002023
[system_20260215_120956.log] 2026-02-15 12:10:56,849 - PhysicalMLTrainer_Drone5 - INFO - Physical ML model trained drone=5 samples=901 degree=2 alpha=0.0 val_mse=0.001179
[system_20260215_120956.log] 2026-02-15 12:10:56,849 - PhysicalMLTrainer_Drone3 - INFO - Physical ML model trained drone=3 samples=901 degree=2 alpha=0.0 val_mse=0.000704
[system_20260215_120956.log] 2026-02-15 12:10:56,850 - PhysicalMLTrainer_Drone4 - INFO - Physical ML model trained drone=4 samples=901 degree=2 alpha=0.0 val_mse=0.000925
[system_20260215_120956.log] 2026-02-15 12:10:57,566 - Drone_1 - INFO - Drone 1: Flying to {'x': 2585.0, 'y': 2580.0, 'z': 60.0}
[ml_system.log] 2026-02-15 12:11:16,976 - PhysicalMLTrainer_Drone1 - INFO - Physical ML model trained drone=1 samples=1051 degree=2 alpha=0.0 val_mse=0.002161
[ml_system.log] 2026-02-15 12:11:17,001 - PhysicalMLTrainer_Drone4 - INFO - Physical ML model trained drone=4 samples=1101 degree=2 alpha=0.0 val_mse=0.001842
[ml_system.log] 2026-02-15 12:11:17,002 - PhysicalMLTrainer_Drone3 - INFO - Physical ML model trained drone=3 samples=1101 degree=2 alpha=0.0 val_mse=0.001444
[ml_system.log] 2026-02-15 12:11:17,002 - PhysicalMLTrainer_Drone5 - INFO - Physical ML model trained drone=5 samples=1101 degree=2 alpha=0.0 val_mse=0.002373
[ml_system.log] 2026-02-15 12:11:17,003 - PhysicalMLTrainer_Drone2 - INFO - Physical ML model trained drone=2 samples=1101 degree=2 alpha=1.0 val_mse=0.003444
[system_20260215_120956.log] 2026-02-15 12:11:16,976 - PhysicalMLTrainer_Drone1 - INFO - Physical ML model trained drone=1 samples=1051 degree=2 alpha=0.0 val_mse=0.002161
[system_20260215_120956.log] 2026-02-15 12:11:17,001 - PhysicalMLTrainer_Drone4 - INFO - Physical ML model trained drone=4 samples=1101 degree=2 alpha=0.0 val_mse=0.001842
[system_20260215_120956.log] 2026-02-15 12:11:17,002 - PhysicalMLTrainer_Drone3 - INFO - Physical ML model trained drone=3 samples=1101 degree=2 alpha=0.0 val_mse=0.001444
[system_20260215_120956.log] 2026-02-15 12:11:17,002 - PhysicalMLTrainer_Drone5 - INFO - Physical ML model trained drone=5 samples=1101 degree=2 alpha=0.0 val_mse=0.002373
[system_20260215_120956.log] 2026-02-15 12:11:17,003 - PhysicalMLTrainer_Drone2 - INFO - Physical ML model trained drone=2 samples=1101 degree=2 alpha=1.0 val_mse=0.003444
[ml_system.log] 2026-02-15 12:11:37,117 - PhysicalMLTrainer_Drone1 - INFO - Physical ML model trained drone=1 samples=1251 degree=2 alpha=0.0 val_mse=0.002946
[ml_system.log] 2026-02-15 12:11:37,143 - PhysicalMLTrainer_Drone3 - INFO - Physical ML model trained drone=3 samples=1301 degree=2 alpha=0.0 val_mse=0.002076
[ml_system.log] 2026-02-15 12:11:37,143 - PhysicalMLTrainer_Drone4 - INFO - Physical ML model trained drone=4 samples=1301 degree=2 alpha=0.0 val_mse=0.002468
[ml_system.log] 2026-02-15 12:11:37,147 - PhysicalMLTrainer_Drone5 - INFO - Physical ML model trained drone=5 samples=1301 degree=2 alpha=0.0 val_mse=0.002868
[ml_system.log] 2026-02-15 12:11:37,148 - PhysicalMLTrainer_Drone2 - INFO - Physical ML model trained drone=2 samples=1301 degree=2 alpha=0.0 val_mse=0.003392
[system_20260215_120956.log] 2026-02-15 12:11:37,117 - PhysicalMLTrainer_Drone1 - INFO - Physical ML model trained drone=1 samples=1251 degree=2 alpha=0.0 val_mse=0.002946
[system_20260215_120956.log] 2026-02-15 12:11:37,143 - PhysicalMLTrainer_Drone4 - INFO - Physical ML model trained drone=4 samples=1301 degree=2 alpha=0.0 val_mse=0.002468
[system_20260215_120956.log] 2026-02-15 12:11:37,143 - PhysicalMLTrainer_Drone3 - INFO - Physical ML model trained drone=3 samples=1301 degree=2 alpha=0.0 val_mse=0.002076
[system_20260215_120956.log] 2026-02-15 12:11:37,147 - PhysicalMLTrainer_Drone5 - INFO - Physical ML model trained drone=5 samples=1301 degree=2 alpha=0.0 val_mse=0.002868
[system_20260215_120956.log] 2026-02-15 12:11:37,148 - PhysicalMLTrainer_Drone2 - INFO - Physical ML model trained drone=2 samples=1301 degree=2 alpha=0.0 val_mse=0.003392
[ml_system.log] 2026-02-15 12:11:57,245 - PhysicalMLTrainer_Drone1 - INFO - Physical ML model trained drone=1 samples=1451 degree=2 alpha=0.0 val_mse=0.002489
[ml_system.log] 2026-02-15 12:11:57,276 - PhysicalMLTrainer_Drone3 - INFO - Physical ML model trained drone=3 samples=1501 degree=2 alpha=0.0 val_mse=0.002164
[ml_system.log] 2026-02-15 12:11:57,277 - PhysicalMLTrainer_Drone2 - INFO - Physical ML model trained drone=2 samples=1501 degree=2 alpha=0.0 val_mse=0.002275
[ml_system.log] 2026-02-15 12:11:57,301 - PhysicalMLTrainer_Drone5 - INFO - Physical ML model trained drone=5 samples=1501 degree=2 alpha=0.0 val_mse=0.002402
[ml_system.log] 2026-02-15 12:11:57,302 - PhysicalMLTrainer_Drone4 - INFO - Physical ML model trained drone=4 samples=1501 degree=2 alpha=0.0 val_mse=0.002338
[system_20260215_120956.log] 2026-02-15 12:11:57,245 - PhysicalMLTrainer_Drone1 - INFO - Physical ML model trained drone=1 samples=1451 degree=2 alpha=0.0 val_mse=0.002489
[system_20260215_120956.log] 2026-02-15 12:11:57,276 - PhysicalMLTrainer_Drone3 - INFO - Physical ML model trained drone=3 samples=1501 degree=2 alpha=0.0 val_mse=0.002164
[system_20260215_120956.log] 2026-02-15 12:11:57,277 - PhysicalMLTrainer_Drone2 - INFO - Physical ML model trained drone=2 samples=1501 degree=2 alpha=0.0 val_mse=0.002275
[system_20260215_120956.log] 2026-02-15 12:11:57,301 - PhysicalMLTrainer_Drone5 - INFO - Physical ML model trained drone=5 samples=1501 degree=2 alpha=0.0 val_mse=0.002402
[system_20260215_120956.log] 2026-02-15 12:11:57,302 - PhysicalMLTrainer_Drone4 - INFO - Physical ML model trained drone=4 samples=1501 degree=2 alpha=0.0 val_mse=0.002338
[ml_system.log] 2026-02-15 12:12:17,368 - PhysicalMLTrainer_Drone1 - INFO - Physical ML model trained drone=1 samples=1651 degree=2 alpha=0.0 val_mse=0.001735
[ml_system.log] 2026-02-15 12:12:17,411 - PhysicalMLTrainer_Drone2 - INFO - Physical ML model trained drone=2 samples=1701 degree=2 alpha=0.0 val_mse=0.001449
[ml_system.log] 2026-02-15 12:12:17,411 - PhysicalMLTrainer_Drone3 - INFO - Physical ML model trained drone=3 samples=1701 degree=2 alpha=0.0 val_mse=0.001826
[ml_system.log] 2026-02-15 12:12:17,448 - PhysicalMLTrainer_Drone5 - INFO - Physical ML model trained drone=5 samples=1701 degree=2 alpha=0.0 val_mse=0.001717
[ml_system.log] 2026-02-15 12:12:17,449 - PhysicalMLTrainer_Drone4 - INFO - Physical ML model trained drone=4 samples=1701 degree=2 alpha=0.0 val_mse=0.001808
[system_20260215_120956.log] 2026-02-15 12:12:17,368 - PhysicalMLTrainer_Drone1 - INFO - Physical ML model trained drone=1 samples=1651 degree=2 alpha=0.0 val_mse=0.001735
[system_20260215_120956.log] 2026-02-15 12:12:17,411 - PhysicalMLTrainer_Drone2 - INFO - Physical ML model trained drone=2 samples=1701 degree=2 alpha=0.0 val_mse=0.001449
[system_20260215_120956.log] 2026-02-15 12:12:17,411 - PhysicalMLTrainer_Drone3 - INFO - Physical ML model trained drone=3 samples=1701 degree=2 alpha=0.0 val_mse=0.001826
[system_20260215_120956.log] 2026-02-15 12:12:17,448 - PhysicalMLTrainer_Drone5 - INFO - Physical ML model trained drone=5 samples=1701 degree=2 alpha=0.0 val_mse=0.001717
[system_20260215_120956.log] 2026-02-15 12:12:17,449 - PhysicalMLTrainer_Drone4 - INFO - Physical ML model trained drone=4 samples=1701 degree=2 alpha=0.0 val_mse=0.001808
[ml_system.log] 2026-02-15 12:12:37,500 - PhysicalMLTrainer_Drone1 - INFO - Physical ML model trained drone=1 samples=1851 degree=2 alpha=0.0 val_mse=0.001176
[ml_system.log] 2026-02-15 12:12:37,545 - PhysicalMLTrainer_Drone3 - INFO - Physical ML model trained drone=3 samples=1901 degree=2 alpha=0.0 val_mse=0.001394
