merged_log_run_id=20260217_082116
[swarm_manager.log] 2026-02-17 08:21:16,953 - SwarmManager - INFO - Swarm monitoring started
[ml_system.log] 2026-02-17 08:22:37,582 - PhysicalMLTrainer_Drone1 - INFO - Physical ML model trained drone=1 samples=1051 degree=2 alpha=0.0 val_mse=0.000000
[ml_system.log] 2026-02-17 08:22:37,592 - PhysicalMLTrainer_Drone2 - INFO - Physical ML model trained drone=2 samples=1101 degree=2 alpha=0.0 val_mse=0.000000
[system_20260217_082116.log] 2026-02-17 08:22:37,562 - PhysicalMLTrainer_Drone5 - INFO - Physical ML model trained drone=5 samples=1101 degree=2 alpha=0.0 val_mse=0.000000
[system_20260217_082116.log] 2026-02-17 08:22:37,565 - PhysicalMLTrainer_Drone3 - INFO - Physical ML model trained drone=3 samples=1101 degree=2 alpha=0.0 val_mse=0.000000
[system_20260217_082116.log] 2026-02-17 08:22:37,579 - PhysicalMLTrainer_Drone4 - INFO - Physical ML model trained drone=4 samples=1101 degree=2 alpha=0.0 val_mse=0.000000
[system_20260217_082116.log] 2026-02-17 08:22:37,582 - PhysicalMLTrainer_Drone1 - INFO - Physical ML model trained drone=1 samples=1051 degree=2 alpha=0.0 val_mse=0.000000
[system_20260217_082116.log] 2026-02-17 08:22:37,592 - PhysicalMLTrainer_Drone2 - INFO - Physical ML model trained drone=2 samples=1101 degree=2 alpha=0.0 val_mse=0.000000
[ml_system.log] 2026-02-17 08:22:57,689 - PhysicalMLTrainer_Drone5 - INFO - Physical ML model trained drone=5 samples=1301 degree=2 alpha=0.0 val_mse=0.000000
[ml_system.log] 2026-02-17 08:22:57,689 - PhysicalMLTrainer_Drone3 - INFO - Physical ML model trained drone=3 samples=1301 degree=2 alpha=0.0 val_mse=0.000000
[ml_system.log] 2026-02-17 08:22:57,716 - PhysicalMLTrainer_Drone1 - INFO - Physical ML model trained drone=1 samples=1251 degree=2 alpha=0.0 val_mse=0.000000
[ml_system.log] 2026-02-17 08:22:57,717 - PhysicalMLTrainer_Drone4 - INFO - Physical ML model trained drone=4 samples=1301 degree=2 alpha=0.0 val_mse=0.000000
[ml_system.log] 2026-02-17 08:22:57,718 - PhysicalMLTrainer_Drone2 - INFO - Physical ML model trained drone=2 samples=1301 degree=2 alpha=0.0 val_mse=0.000000
[system_20260217_082116.log] 2026-02-17 08:22:57,689 - PhysicalMLTrainer_Drone5 - INFO - Physical ML model trained drone=5 samples=1301 degree=2 alpha=0.0 val_mse=0.000000
[system_20260217_082116.log] 2026-02-17 08:22:57,689 - PhysicalMLTrainer_Drone3 - INFO - Physical ML model trained drone=3 samples=1301 degree=2 alpha=0.0 val_mse=0.000000
[system_20260217_082116.log] 2026-02-17 08:22:57,716 - PhysicalMLTrainer_Drone1 - INFO - Physical ML model trained drone=1 samples=1251 degree=2 alpha=0.0 val_mse=0.000000
[system_20260217_082116.log] 2026-02-17 08:22:57,717 - PhysicalMLTrainer_Drone4 - INFO - Physical ML model trained drone=4 samples=1301 degree=2 alpha=0.0 val_mse=0.000000
[system_20260217_082116.log] 2026-02-17 08:22:57,718 - PhysicalMLTrainer_Drone2 - INFO - Physical ML model trained drone=2 samples=1301 degree=2 alpha=0.0 val_mse=0.000000
[ml_system.log] 2026-02-17 08:23:17,816 - PhysicalMLTrainer_Drone5 - INFO - Physical ML model trained drone=5 samples=1501 degree=2 alpha=0.0 val_mse=0.000000
[ml_system.log] 2026-02-17 08:23:17,823 - PhysicalMLTrainer_Drone3 - INFO - Physical ML model trained drone=3 samples=1501 degree=2 alpha=0.0 val_mse=0.000000
[ml_system.log] 2026-02-17 08:23:17,838 - PhysicalMLTrainer_Drone2 - INFO - Physical ML model trained drone=2 samples=1501 degree=2 alpha=0.0 val_mse=0.000000
[ml_system.log] 2026-02-17 08:23:17,851 - PhysicalMLTrainer_Drone1 - INFO - Physical ML model trained drone=1 samples=1451 degree=2 alpha=0.0 val_mse=0.000000
[ml_system.log] 2026-02-17 08:23:17,851 - PhysicalMLTrainer_Drone4 - INFO - Physical ML model trained drone=4 samples=1501 degree=2 alpha=0.0 val_mse=0.000000
[system_20260217_082116.log] 2026-02-17 08:23:17,816 - PhysicalMLTrainer_Drone5 - INFO - Physical ML model trained drone=5 samples=1501 degree=2 alpha=0.0 val_mse=0.000000
[system_20260217_082116.log] 2026-02-17 08:23:17,823 - PhysicalMLTrainer_Drone3 - INFO - Physical ML model trained drone=3 samples=1501 degree=2 alpha=0.0 val_mse=0.000000
[system_20260217_082116.log] 2026-02-17 08:23:17,838 - PhysicalMLTrainer_Drone2 - INFO - Physical ML model trained drone=2 samples=1501 degree=2 alpha=0.0 val_mse=0.000000
[system_20260217_082116.log] 2026-02-17 08:23:17,851 - PhysicalMLTrainer_Drone1 - INFO - Physical ML model trained drone=1 samples=1451 degree=2 alpha=0.0 val_mse=0.000000
[system_20260217_082116.log] 2026-02-17 08:23:17,851 - PhysicalMLTrainer_Drone4 - INFO - Physical ML model trained drone=4 samples=1501 degree=2 alpha=0.0 val_mse=0.000000
